Review,Predicted Sentiment Score,Predicted Label
BREAKING: A massive 6.8 magnitude earthquake just struck off the coast. Tsunami warnings issued for coastal areas! #Earthquake #News,90.27481079101562,disaster
My laptop just crashed right before I saved my 20-page term paper. This is a total disaster 😭 #fml #help,71.86434268951416,general
The wildfire is spreading rapidly due to high winds. Evacuation orders are now in place for Northern County residents. Be safe!,90.23825526237488,disaster
That new Taylor Swift track is absolute fire! I have had it on repeat all morning long 🔥🎶,83.90481472015381,general
Flash flood warnings active for downtown. Multiple roads are completely submerged. Do not attempt to drive through flooded areas.,90.28499126434326,disaster
We are drowning in paperwork at the office today. Someone please rescue me from this boring meeting.,81.25467896461487,general
Emergency crews are responding to a structural collapse at the industrial park. Avoid the area to let sirens through.,90.24186134338379,disaster
I am burning up in this summer heat! The AC at the gym is broken and it feels like a literal oven in here.,78.88662219047546,general
A major multi-vehicle accident has completely blocked all southbound lanes on Interstate 95. Expect severe traffic delays.,89.84711170196533,disaster
My favorite character just got killed off in the season finale. I am emotionally destroyed right now. Why did they do this?!,88.8440191745758,general
